source_node,target_node,relationship_type,relationship_source,relationship_strength,clinical_substitution_supported,graph_view
NODE_AMOXICILLIN,NODE_NYSTATIN,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1008603),0.4,False,SIMILARITY
NODE_AMOXICILLIN,NODE_OMEPRAZOLE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (2262025),0.4,False,SIMILARITY
NODE_AMOXICILLIN,NODE_DICLOFENAC,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1008370),0.4,False,SIMILARITY
NODE_AMOXICILLIN,NODE_PIROXICAM,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1008606),0.4,False,SIMILARITY
NODE_AMOXICILLIN,NODE_PROBENECID,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1007416),0.4,False,SIMILARITY
NODE_CIPROFLOXACIN,NODE_HYDROCORTISONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (465711),0.4,False,SIMILARITY
NODE_CIPROFLOXACIN,NODE_DEXAMETHASONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (465397),0.4,False,SIMILARITY
NODE_CIPROFLOXACIN,NODE_FLUOCINOLONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1792385),0.4,False,SIMILARITY
NODE_CLINDAMYCIN,NODE_TRETINOIN,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (687144),0.4,False,SIMILARITY
NODE_CLINDAMYCIN,NODE_ADAPALENE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (2668193),0.4,False,SIMILARITY
NODE_METRONIDAZOLE,NODE_NYSTATIN,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (392520),0.4,False,SIMILARITY
NODE_METRONIDAZOLE,NODE_TETRACYCLINE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (1007769, 818629)",0.4,False,SIMILARITY
NODE_ACYCLOVIR,NODE_HYDROCORTISONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1007804),0.4,False,SIMILARITY
NODE_GENTAMICIN,NODE_HYDROCORTISONE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (106983, 1870699)",0.4,False,SIMILARITY
