node_id,cms_entity_name,canonical_rxcui,therapeutic_category,mapping_status,manufacturer_count,single_manufacturer_flag,historical_shortage_count,latest_model_risk_score
NODE_AMOXICILLIN,AMOXICILLIN,723,Unclassified / General,unique,3,0,0,0.0447
NODE_AZITHROMYCIN,AZITHROMYCIN,18631,Anti-Infective,unique,1,1,0,0.1158
NODE_CEPHALEXIN,CEPHALEXIN,2231,Unclassified / General,unique,2,0,0,0.0198
NODE_CIPROFLOXACIN,CIPROFLOXACIN,2551,Unclassified / General,unique,1,1,0,0.0001
NODE_DOXYCYCLINE,DOXYCYCLINE,3640,Anti-Infective,unique,6,0,0,0.9624
NODE_LEVOFLOXACIN,LEVOFLOXACIN,82122,Unclassified / General,unique,1,1,0,0.0001
NODE_CLINDAMYCIN,CLINDAMYCIN,2582,Anti-Infective,unique,7,0,0,0.7172
NODE_METRONIDAZOLE,METRONIDAZOLE,6922,Anti-Infective,unique,8,0,4,0.0479
NODE_NITROFURANTOIN,NITROFURANTOIN,7454,Anti-Infective,unique,1,1,0,0.4457
NODE_FLUCONAZOLE,FLUCONAZOLE,4450,Unclassified / General,unique,5,0,0,0.0009
NODE_ACYCLOVIR,ACYCLOVIR,281,Unclassified / General,unique,7,0,0,0.0027
NODE_VANCOMYCIN,VANCOMYCIN,11124,Anti-Infective,unique,4,0,0,0.9537
NODE_GENTAMICIN,GENTAMICIN,1596450,Unclassified / General,unique,5,0,0,0.0271
NODE_CEFDINIR,CEFDINIR,25037,Unclassified / General,unique,5,0,0,0.0181
NODE_CEFUROXIME,CEFUROXIME,2194,Unclassified / General,unique,4,0,0,0.0059
NODE_AZTREONAM,AZTREONAM,1272,Unclassified / General,unique,6,0,0,0.0157
NODE_PENICILLIN,PENICILLIN,UNMAPPED,Anti-Infective,unmapped,1,1,0,0.0766
NODE_MEROPENEM,MEROPENEM,29561,Unclassified / General,unique,3,0,0,0.002
NODE_TRIMETHOPRIM,TRIMETHOPRIM,10829,Unclassified / General,unique,6,0,0,0.0113
NODE_SULFAMETHOXAZOLE,SULFAMETHOXAZOLE,10180,Unclassified / General,unique,4,0,0,0.002
NODE_VALACYCLOVIR,VALACYCLOVIR,73645,Unclassified / General,unique,6,0,0,0.0075
NODE_VALGANCICLOVIR,VALGANCICLOVIR,275891,Unclassified / General,unique,2,0,0,0.022
NODE_OSELTAMIVIR,OSELTAMIVIR,260101,Antiviral,unique,5,0,0,0.6005
NODE_KETOCONAZOLE,KETOCONAZOLE,6135,Unclassified / General,unique,5,0,0,0.0438
NODE_TERBINAFINE,TERBINAFINE,37801,Unclassified / General,unique,6,0,0,0.0154
NODE_NYSTATIN,NYSTATIN,7597,Unclassified / General,unique,6,0,0,0.0179
NODE_ITRACONAZOLE,ITRACONAZOLE,28031,Anti-Infective,unique,8,0,0,0.9909
NODE_VORICONAZOLE,VORICONAZOLE,121243,Antiviral,unique,4,0,0,0.4195
NODE_CEFTRIAXONE,CEFTRIAXONE,2193,Unclassified / General,unique,2,0,0,0.003
NODE_CEFAZOLIN,CEFAZOLIN,2180,Unclassified / General,unique,8,0,0,0.0114
NODE_CEFEPIME,CEFEPIME,20481,Anti-Infective,unique,3,0,0,0.9795
NODE_AMPICILLIN,AMPICILLIN,733,Anti-Infective,unique,7,0,0,0.9401
NODE_PIPERACILLIN,PIPERACILLIN,8339,Anti-Infective,unique,3,0,0,0.9572
NODE_TAZOBACTAM,TAZOBACTAM,37617,Unclassified / General,unique,5,0,0,0.0081
NODE_ERTAPENEM,ERTAPENEM,325642,Unclassified / General,unique,1,1,0,0.0001
NODE_TOBRAMYCIN,TOBRAMYCIN,10627,Anti-Infective,unique,3,0,0,0.9173
NODE_AMIKACIN,AMIKACIN,641,Unclassified / General,unique,2,0,0,0.007
NODE_MOXIFLOXACIN,MOXIFLOXACIN,139462,Anti-Infective,unique,6,0,0,0.9427
NODE_OFLOXACIN,OFLOXACIN,7623,Unclassified / General,unique,2,0,0,0.0063
NODE_CLARITHROMYCIN,CLARITHROMYCIN,21212,Unclassified / General,unique,1,1,0,0.0001
NODE_ERYTHROMYCIN,ERYTHROMYCIN,4053,Unclassified / General,unique,8,0,0,0.0086
NODE_MINOCYCLINE,MINOCYCLINE,6980,Unclassified / General,unique,7,0,0,0.0134
NODE_TETRACYCLINE,TETRACYCLINE,10395,Unclassified / General,unique,1,1,0,0.0005
NODE_RIFAMPIN,RIFAMPIN,9384,Anti-Infective,unique,5,0,12,0.4316
NODE_ISONIAZID,ISONIAZID,6038,Unclassified / General,unique,1,1,0,0.0
NODE_PYRAZINAMIDE,PYRAZINAMIDE,8987,Unclassified / General,unique,6,0,0,0.016
NODE_ETHAMBUTOL,ETHAMBUTOL,4110,Unclassified / General,unique,5,0,0,0.0133
NODE_DAPSONE,DAPSONE,3108,Dermatology,unique,6,0,0,0.415
NODE_LINEZOLID,LINEZOLID,190376,Unclassified / General,unique,4,0,0,0.0201
NODE_DAPTOMYCIN,DAPTOMYCIN,22299,Anti-Infective,unique,7,0,0,0.9226
NODE_ATORVASTATIN,ATORVASTATIN,83367,Unclassified / General,unique,6,0,0,0.0161
NODE_LISINOPRIL,LISINOPRIL,29046,Unclassified / General,unique,5,0,0,0.0151
NODE_AMLODIPINE,AMLODIPINE,17767,Unclassified / General,unique,2,0,0,0.0364
NODE_LOSARTAN,LOSARTAN,52175,Unclassified / General,unique,2,0,0,0.0287
NODE_METOPROLOL,METOPROLOL,6918,Cardiovascular,unique,5,0,0,0.9667
NODE_CARVEDILOL,CARVEDILOL,20352,Unclassified / General,unique,8,0,0,0.0092
NODE_ROSUVASTATIN,ROSUVASTATIN,301542,Unclassified / General,unique,1,1,0,0.0
NODE_HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,5487,Cardiovascular,unique,5,0,0,0.96
NODE_FUROSEMIDE,FUROSEMIDE,4603,Cardiovascular,unique,4,0,27,0.9671
NODE_APIXABAN,APIXABAN,UNMAPPED,Unclassified / General,unmapped,1,1,0,0.0001
NODE_CLOPIDOGREL,CLOPIDOGREL,32968,Unclassified / General,unique,4,0,0,0.0283
NODE_SIMVASTATIN,SIMVASTATIN,36567,Unclassified / General,unique,1,1,0,0.0001
NODE_PRAVASTATIN,PRAVASTATIN,42463,Unclassified / General,unique,5,0,0,0.0212
NODE_SPIRONOLACTONE,SPIRONOLACTONE,9997,Cardiovascular,unique,5,0,0,0.9031
NODE_VALSARTAN,VALSARTAN,69749,Cardiovascular,unique,4,0,0,0.9812
NODE_DILTIAZEM,DILTIAZEM,3443,Cardiovascular,unique,8,0,0,0.9426
NODE_VERAPAMIL,VERAPAMIL,11170,Cardiovascular,unique,4,0,0,0.8937
NODE_ENALAPRIL,ENALAPRIL,3827,Unclassified / General,unique,2,0,0,0.064
NODE_RAMIPRIL,RAMIPRIL,35296,Unclassified / General,unique,4,0,0,0.0193
NODE_ATENOLOL,ATENOLOL,1202,Unclassified / General,unique,8,0,0,0.0374
NODE_TELMISARTAN,TELMISARTAN,73494,Unclassified / General,unique,5,0,0,0.0221
NODE_RIVAROXABAN,RIVAROXABAN,1114195,Unclassified / General,unique,2,0,0,0.0175
NODE_WARFARIN,WARFARIN,11289,Unclassified / General,unique,8,0,0,0.0047
NODE_NITROGLYCERIN,NITROGLYCERIN,4917,Analgesia/Addiction,unique,5,0,0,0.2885
NODE_HYDRALAZINE,HYDRALAZINE,5470,Unclassified / General,unique,6,0,0,0.002
NODE_ISOSORBIDE,ISOSORBIDE,6057,Unclassified / General,unique,7,0,0,0.0053
NODE_AMIODARONE,AMIODARONE,703,Unclassified / General,unique,1,1,0,0.0001
NODE_DIGOXIN,DIGOXIN,3407,Unclassified / General,unique,3,0,0,0.0122
NODE_FLECAINIDE,FLECAINIDE,4441,Unclassified / General,unique,8,0,0,0.0083
NODE_PROPRANOLOL,PROPRANOLOL,8787,Cardiovascular,unique,1,1,0,0.0666
NODE_LABETALOL,LABETALOL,6185,Unclassified / General,unique,8,0,0,0.0041
NODE_BISOPROLOL,BISOPROLOL,19484,Unclassified / General,unique,2,0,0,0.0355
NODE_NEBIVOLOL,NEBIVOLOL,31555,Cardiovascular,unique,4,0,0,0.9684
NODE_IRBESARTAN,IRBESARTAN,83818,Unclassified / General,unique,8,0,0,0.0076
NODE_CANDESARTAN,CANDESARTAN,214354,Unclassified / General,unique,7,0,0,0.0204
NODE_OLMESARTAN,OLMESARTAN,321064,Unclassified / General,unique,4,0,0,0.0581
NODE_AZILSARTAN,AZILSARTAN,1091643,Unclassified / General,unique,6,0,0,0.0029
NODE_NIFEDIPINE,NIFEDIPINE,7417,Unclassified / General,unique,5,0,0,0.0214
NODE_FELODIPINE,FELODIPINE,4316,Unclassified / General,unique,4,0,0,0.0229
NODE_ISRADIPINE,ISRADIPINE,33910,Unclassified / General,unique,3,0,0,0.0015
NODE_CLEVIDIPINE,CLEVIDIPINE,233603,Unclassified / General,unique,8,0,0,0.0025
NODE_NICARDIPINE,NICARDIPINE,7396,Unclassified / General,unique,5,0,0,0.0065
NODE_BUMETANIDE,BUMETANIDE,1808,Cardiovascular,unique,5,0,12,0.9894
NODE_TORSEMIDE,TORSEMIDE,38413,Unclassified / General,unique,2,0,0,0.033
NODE_CHLORTHALIDONE,CHLORTHALIDONE,2409,Unclassified / General,unique,6,0,0,0.0267
NODE_INDAPAMIDE,INDAPAMIDE,5764,Unclassified / General,unique,4,0,0,0.0158
NODE_TRIAMTERENE,TRIAMTERENE,10763,Unclassified / General,unique,4,0,0,0.0135
NODE_EPLERENONE,EPLERENONE,298869,Unclassified / General,unique,4,0,0,0.0235
NODE_LOVASTATIN,LOVASTATIN,6472,Unclassified / General,unique,3,0,0,0.02
NODE_TICAGRELOR,TICAGRELOR,1116632,Unclassified / General,unique,6,0,0,0.0326
NODE_PRASUGREL,PRASUGREL,613391,Unclassified / General,unique,3,0,0,0.0502
NODE_EDOXABAN,EDOXABAN,1599538,Unclassified / General,unique,7,0,0,0.0165
NODE_DABIGATRAN,DABIGATRAN,1546356,Unclassified / General,unique,8,0,0,0.0042
NODE_SOTALOL,SOTALOL,9947,Unclassified / General,unique,7,0,0,0.0174
NODE_DRONEDARONE,DRONEDARONE,233698,Unclassified / General,unique,7,0,0,0.0151
NODE_DOBUTAMINE,DOBUTAMINE,3616,Cardiovascular,unique,2,0,10,0.8453
NODE_DOPAMINE,DOPAMINE,3628,Cardiovascular,unique,2,0,11,0.975
NODE_MILRINONE,MILRINONE,52769,Unclassified / General,unique,3,0,0,0.003
NODE_LEVOSIMENDAN,LEVOSIMENDAN,73107,Unclassified / General,unique,5,0,0,0.0071
NODE_PHENTOLAMINE,PHENTOLAMINE,8153,Unclassified / General,unique,1,1,0,0.0001
