cms_entity_name,feature_year_t,target_year_t1,claims,beneficiaries,spending,avg_spending_per_claim,avg_spending_per_beneficiary,manufacturer_count,claims_lag_1,claims_growth_yoy,beneficiaries_lag_1,beneficiary_growth_yoy,spending_lag_1,spending_growth_yoy,avg_spending_per_claim_growth,years_observed_before_t,claims_rolling_mean_2y,claims_rolling_std_2y,spending_rolling_mean_2y,is_first_observation_year,prior_shortage_count,ever_shortage_before_t,years_since_last_shortage,therapeutic_category,is_single_manufacturer,mapping_status,primary_rxcui,shortage_next_year
AMOXICILLIN,2018,2019,3369242.0,289242.0,146562027.0,43.5,506.71,3.0,3369242.0,0.0,289242.0,0.0,146562027.0,0.0,0.0,0,3369242.0,0.0,146562027.0,1,0,0,-1,Unclassified / General,0,unique,723,0
AMOXICILLIN,2019,2020,3504011.0,300811.0,152424508.08,43.5,506.71,3.0,3369242.0,0.04,289242.0,0.04,146562027.0,0.04,0.0,1,3436626.5,95296.07,149493267.54,0,0,0,-1,Unclassified / General,0,unique,723,0
AMOXICILLIN,2020,2021,3638781.0,312381.0,158286989.16,43.5,506.71,3.0,3504011.0,0.0385,300811.0,0.0385,152424508.08,0.0385,0.0,2,3571396.0,95296.78,155355748.62,0,0,0,-1,Unclassified / General,0,unique,723,0
AMOXICILLIN,2021,2022,3773551.0,323951.0,164149470.24,43.5,506.71,3.0,3638781.0,0.037,312381.0,0.037,158286989.16,0.037,0.0,3,3706166.0,95296.78,161218229.7,0,0,0,-1,Unclassified / General,0,unique,723,0
AMOXICILLIN,2022,2023,3908320.0,335520.0,170011951.32,43.5,506.71,3.0,3773551.0,0.0357,323951.0,0.0357,164149470.24,0.0357,0.0,4,3840935.5,95296.07,167080710.78,0,0,0,-1,Unclassified / General,0,unique,723,0
AMOXICILLIN,2023,2024,4043090.0,347090.0,175874432.4,43.5,506.71,3.0,3908320.0,0.0345,335520.0,0.0345,170011951.32,0.0345,0.0,5,3975705.0,95296.78,172943191.86,0,0,0,-1,Unclassified / General,0,unique,723,0
AZITHROMYCIN,2018,2019,376192.0,296192.0,16364352.0,43.5,55.25,1.0,376192.0,0.0,296192.0,0.0,16364352.0,0.0,0.0,0,376192.0,0.0,16364352.0,1,0,0,-1,Anti-Infective,1,unique,18631,0
AZITHROMYCIN,2019,2020,391239.0,308039.0,17018926.08,43.5,55.25,1.0,376192.0,0.04,296192.0,0.04,16364352.0,0.04,0.0,1,383715.5,10639.84,16691639.04,0,0,0,-1,Anti-Infective,1,unique,18631,0
AZITHROMYCIN,2020,2021,406287.0,319887.0,17673500.16,43.5,55.25,1.0,391239.0,0.0385,308039.0,0.0385,17018926.08,0.0385,0.0,2,398763.0,10640.54,17346213.12,0,0,0,-1,Anti-Infective,1,unique,18631,0
AZITHROMYCIN,2021,2022,421335.0,331735.0,18328074.24,43.5,55.25,1.0,406287.0,0.037,319887.0,0.037,17673500.16,0.037,0.0,3,413811.0,10640.54,18000787.2,0,0,0,-1,Anti-Infective,1,unique,18631,0
AZITHROMYCIN,2022,2023,436382.0,343582.0,18982648.32,43.5,55.25,1.0,421335.0,0.0357,331735.0,0.0357,18328074.24,0.0357,0.0,4,428858.5,10639.84,18655361.28,0,0,0,-1,Anti-Infective,1,unique,18631,0
AZITHROMYCIN,2023,2024,451430.0,355430.0,19637222.4,43.5,55.25,1.0,436382.0,0.0345,343582.0,0.0345,18982648.32,0.0345,0.0,5,443906.0,10640.54,19309935.36,0,0,0,-1,Anti-Infective,1,unique,18631,0
CEPHALEXIN,2018,2019,2010169.0,930169.0,41208464.5,20.5,44.3,2.0,2010169.0,0.0,930169.0,0.0,41208464.5,0.0,0.0,0,2010169.0,0.0,41208464.5,1,0,0,-1,Unclassified / General,0,unique,2231,0
CEPHALEXIN,2019,2020,2090575.0,967375.0,42856803.08,20.5,44.3,2.0,2010169.0,0.04,930169.0,0.04,41208464.5,0.04,0.0,1,2050372.0,56855.63,42032633.79,0,0,0,-1,Unclassified / General,0,unique,2231,0
CEPHALEXIN,2020,2021,2170982.0,1004582.0,44505141.66,20.5,44.3,2.0,2090575.0,0.0385,967375.0,0.0385,42856803.08,0.0385,0.0,2,2130778.5,56856.33,43680972.37,0,0,0,-1,Unclassified / General,0,unique,2231,0
CEPHALEXIN,2021,2022,2251389.0,1041789.0,46153480.24,20.5,44.3,2.0,2170982.0,0.037,1004582.0,0.037,44505141.66,0.037,0.0,3,2211185.5,56856.33,45329310.95,0,0,0,-1,Unclassified / General,0,unique,2231,0
CEPHALEXIN,2022,2023,2331796.0,1078996.0,47801818.82,20.5,44.3,2.0,2251389.0,0.0357,1041789.0,0.0357,46153480.24,0.0357,0.0,4,2291592.5,56856.33,46977649.53,0,0,0,-1,Unclassified / General,0,unique,2231,0
CEPHALEXIN,2023,2024,2412202.0,1116202.0,49450157.4,20.5,44.3,2.0,2331796.0,0.0345,1078996.0,0.0345,47801818.82,0.0345,0.0,5,2371999.0,56855.63,48625988.11,0,0,0,-1,Unclassified / General,0,unique,2231,0
CIPROFLOXACIN,2018,2019,4556280.0,476280.0,143522820.0,31.5,301.34,1.0,4556280.0,0.0,476280.0,0.0,143522820.0,0.0,0.0,0,4556280.0,0.0,143522820.0,1,0,0,-1,Unclassified / General,1,unique,2551,0
CIPROFLOXACIN,2019,2020,4738531.0,495331.0,149263732.8,31.5,301.34,1.0,4556280.0,0.04,476280.0,0.04,143522820.0,0.04,0.0,1,4647405.5,128870.92,146393276.4,0,0,0,-1,Unclassified / General,1,unique,2551,0
CIPROFLOXACIN,2020,2021,4920782.0,514382.0,155004645.6,31.5,301.34,1.0,4738531.0,0.0385,495331.0,0.0385,149263732.8,0.0385,0.0,2,4829656.5,128870.92,152134189.2,0,0,0,-1,Unclassified / General,1,unique,2551,0
CIPROFLOXACIN,2021,2022,5103033.0,533433.0,160745558.4,31.5,301.34,1.0,4920782.0,0.037,514382.0,0.037,155004645.6,0.037,0.0,3,5011907.5,128870.92,157875102.0,0,0,0,-1,Unclassified / General,1,unique,2551,0
CIPROFLOXACIN,2022,2023,5285284.0,552484.0,166486471.2,31.5,301.34,1.0,5103033.0,0.0357,533433.0,0.0357,160745558.4,0.0357,0.0,4,5194158.5,128870.92,163616014.8,0,0,0,-1,Unclassified / General,1,unique,2551,0
CIPROFLOXACIN,2023,2024,5467536.0,571536.0,172227384.0,31.5,301.34,1.0,5285284.0,0.0345,552484.0,0.0345,166486471.2,0.0345,0.0,5,5376410.0,128871.63,169356927.6,0,0,0,-1,Unclassified / General,1,unique,2551,0
DOXYCYCLINE,2018,2019,3401085.0,321085.0,124139602.5,36.5,386.63,6.0,3401085.0,0.0,321085.0,0.0,124139602.5,0.0,0.0,0,3401085.0,0.0,124139602.5,1,0,0,-1,Anti-Infective,0,unique,3640,0
DOXYCYCLINE,2019,2020,3537128.0,333928.0,129105186.6,36.5,386.63,6.0,3401085.0,0.04,321085.0,0.04,124139602.5,0.04,0.0,1,3469106.5,96196.93,126622394.55,0,0,0,-1,Anti-Infective,0,unique,3640,0
DOXYCYCLINE,2020,2021,3673171.0,346771.0,134070770.7,36.5,386.63,6.0,3537128.0,0.0385,333928.0,0.0385,129105186.6,0.0385,0.0,2,3605149.5,96196.93,131587978.65,0,0,0,-1,Anti-Infective,0,unique,3640,0
DOXYCYCLINE,2021,2022,3809215.0,359615.0,139036354.8,36.5,386.63,6.0,3673171.0,0.037,346771.0,0.037,134070770.7,0.037,0.0,3,3741193.0,96197.63,136553562.75,0,0,0,-1,Anti-Infective,0,unique,3640,0
DOXYCYCLINE,2022,2023,3945258.0,372458.0,144001938.9,36.5,386.63,6.0,3809215.0,0.0357,359615.0,0.0357,139036354.8,0.0357,0.0,4,3877236.5,96196.93,141519146.85,0,0,0,-1,Anti-Infective,0,unique,3640,0
DOXYCYCLINE,2023,2024,4081302.0,385302.0,148967523.0,36.5,386.63,6.0,3945258.0,0.0345,372458.0,0.0345,144001938.9,0.0345,0.0,5,4013280.0,96197.63,146484730.95,0,0,0,-1,Anti-Infective,0,unique,3640,0
LEVOFLOXACIN,2018,2019,955400.0,875400.0,1433100.0,1.5,1.64,1.0,955400.0,0.0,875400.0,0.0,1433100.0,0.0,0.0,0,955400.0,0.0,1433100.0,1,0,0,-1,Unclassified / General,1,unique,82122,0
LEVOFLOXACIN,2019,2020,993616.0,910416.0,1490424.0,1.5,1.64,1.0,955400.0,0.04,875400.0,0.04,1433100.0,0.04,0.0,1,974508.0,27022.79,1461762.0,0,0,0,-1,Unclassified / General,1,unique,82122,0
LEVOFLOXACIN,2020,2021,1031832.0,945432.0,1547748.0,1.5,1.64,1.0,993616.0,0.0385,910416.0,0.0385,1490424.0,0.0385,0.0,2,1012724.0,27022.79,1519086.0,0,0,0,-1,Unclassified / General,1,unique,82122,0
LEVOFLOXACIN,2021,2022,1070048.0,980448.0,1605072.0,1.5,1.64,1.0,1031832.0,0.037,945432.0,0.037,1547748.0,0.037,0.0,3,1050940.0,27022.79,1576410.0,0,0,0,-1,Unclassified / General,1,unique,82122,0
LEVOFLOXACIN,2022,2023,1108264.0,1015463.0,1662396.0,1.5,1.64,1.0,1070048.0,0.0357,980448.0,0.0357,1605072.0,0.0357,0.0,4,1089156.0,27022.79,1633734.0,0,0,0,-1,Unclassified / General,1,unique,82122,0
LEVOFLOXACIN,2023,2024,1146480.0,1050480.0,1719720.0,1.5,1.64,1.0,1108264.0,0.0345,1015463.0,0.0345,1662396.0,0.0345,0.0,5,1127372.0,27022.79,1691058.0,0,0,0,-1,Unclassified / General,1,unique,82122,0
CLINDAMYCIN,2018,2019,3873654.0,793654.0,21305097.0,5.5,26.84,7.0,3873654.0,0.0,793654.0,0.0,21305097.0,0.0,0.0,0,3873654.0,0.0,21305097.0,1,0,0,-1,Anti-Infective,0,unique,2582,0
CLINDAMYCIN,2019,2020,4028600.0,825400.0,22157300.88,5.5,26.84,7.0,3873654.0,0.04,793654.0,0.04,21305097.0,0.04,0.0,1,3951127.0,109563.37,21731198.94,0,0,0,-1,Anti-Infective,0,unique,2582,0
CLINDAMYCIN,2020,2021,4183546.0,857146.0,23009504.76,5.5,26.84,7.0,4028600.0,0.0385,825400.0,0.0385,22157300.88,0.0385,0.0,2,4106073.0,109563.37,22583402.82,0,0,0,-1,Anti-Infective,0,unique,2582,0
CLINDAMYCIN,2021,2022,4338492.0,888892.0,23861708.64,5.5,26.84,7.0,4183546.0,0.037,857146.0,0.037,23009504.76,0.037,0.0,3,4261019.0,109563.37,23435606.7,0,0,0,-1,Anti-Infective,0,unique,2582,0
CLINDAMYCIN,2022,2023,4493438.0,920638.0,24713912.52,5.5,26.84,7.0,4338492.0,0.0357,888892.0,0.0357,23861708.64,0.0357,0.0,4,4415965.0,109563.37,24287810.58,0,0,0,-1,Anti-Infective,0,unique,2582,1
CLINDAMYCIN,2023,2024,4648384.0,952384.0,25566116.4,5.5,26.84,7.0,4493438.0,0.0345,920638.0,0.0345,24713912.52,0.0345,0.0,5,4570911.0,109563.37,25140014.46,0,17,1,0,Anti-Infective,0,unique,2582,0
METRONIDAZOLE,2018,2019,2649079.0,569079.0,80796909.5,30.5,141.98,8.0,2649079.0,0.0,569079.0,0.0,80796909.5,0.0,0.0,0,2649079.0,0.0,80796909.5,1,0,0,-1,Anti-Infective,0,unique,6922,0
METRONIDAZOLE,2019,2020,2755042.0,591842.0,84028785.88,30.5,141.98,8.0,2649079.0,0.04,569079.0,0.04,80796909.5,0.04,0.0,1,2702060.5,74927.16,82412847.69,0,0,0,-1,Anti-Infective,0,unique,6922,0
METRONIDAZOLE,2020,2021,2861005.0,614605.0,87260662.26,30.5,141.98,8.0,2755042.0,0.0385,591842.0,0.0385,84028785.88,0.0385,0.0,2,2808023.5,74927.16,85644724.07,0,0,0,-1,Anti-Infective,0,unique,6922,0
METRONIDAZOLE,2021,2022,2966968.0,637368.0,90492538.64,30.5,141.98,8.0,2861005.0,0.037,614605.0,0.037,87260662.26,0.037,0.0,3,2913986.5,74927.16,88876600.45,0,0,0,-1,Anti-Infective,0,unique,6922,1
METRONIDAZOLE,2022,2023,3072931.0,660131.0,93724415.02,30.5,141.98,8.0,2966968.0,0.0357,637368.0,0.0357,90492538.64,0.0357,0.0,4,3019949.5,74927.16,92108476.83,0,4,1,0,Anti-Infective,0,unique,6922,0
METRONIDAZOLE,2023,2024,3178894.0,682894.0,96956291.4,30.5,141.98,8.0,3072931.0,0.0345,660131.0,0.0345,93724415.02,0.0345,0.0,5,3125912.5,74927.16,95340353.21,0,4,1,1,Anti-Infective,0,unique,6922,0
NITROFURANTOIN,2018,2019,4606848.0,526848.0,228038976.0,49.5,432.84,1.0,4606848.0,0.0,526848.0,0.0,228038976.0,0.0,0.0,0,4606848.0,0.0,228038976.0,1,0,0,-1,Anti-Infective,1,unique,7454,0
NITROFURANTOIN,2019,2020,4791121.0,547921.0,237160535.04,49.5,432.84,1.0,4606848.0,0.04,526848.0,0.04,228038976.0,0.04,0.0,1,4698984.5,130300.69,232599755.52,0,0,0,-1,Anti-Infective,1,unique,7454,0
NITROFURANTOIN,2020,2021,4975395.0,568995.0,246282094.08,49.5,432.84,1.0,4791121.0,0.0385,547921.0,0.0385,237160535.04,0.0385,0.0,2,4883258.0,130301.39,241721314.56,0,0,0,-1,Anti-Infective,1,unique,7454,0
NITROFURANTOIN,2021,2022,5159669.0,590069.0,255403653.12,49.5,432.84,1.0,4975395.0,0.037,568995.0,0.037,246282094.08,0.037,0.0,3,5067532.0,130301.39,250842873.6,0,0,0,-1,Anti-Infective,1,unique,7454,0
